Year,Quater,Educational attainment,Both sexes:No. ('000),Both sexes:Percentage share (%),Female:No. ('000),Female:Percentage share (%),Male:No. ('000),Male:Percentage share (%),total_female,total_male
2019,Q4,Secondary,3777.3,3823.4678112218476,1925.8,0.49718612525603634,1851.7,0.48442212544303787,3873.398516517872,3822.4926210925873
2019,Q4,     Lower secondary (3),1011.6,3817.8244887911746,443.0,0.11423362181007689,568.6,0.14894316232370852,3878.017635968202,3817.563633866066
2019,Q4,     Upper secondary (4),2765.6,3819.884655743946,1482.6,0.38296541378460464,1282.9,0.3359106572800011,3871.367874577506,3819.170282920283
2019,Q4,Post-secondary (5),3267.2999999999997,3822.996365874317,1594.2,0.411690890162065,1673.1,0.43773762360513446,3872.322750140116,3822.1526087262637
2019,Q4,     Post-secondary - non-degree (6),760.8,3830.9094795226115,365.6,0.09423248976516012,395.2,0.10316616260697771,3879.765895086968,3830.7133852167763
2019,Q4,          Post-secondary - diploma/certificate (7),280.70000000000005,3818.746092597356,147.6,0.03811492767347548,133.1,0.03485503441632597,3872.498493620812,3818.67360709466
2019,Q4,          Post-secondary - sub-degree (8),480.0,3806.75272706427,218.0,0.05612947152762578,262.0,0.06882729848816099,3883.8776504907028,3806.629139237053
2019,Q4,     Post-secondary - degree (9),2506.4,3825.6506282396986,1228.6,0.31695233091956987,1277.8,0.33406500741733797,3876.292679203456,3825.004031037829
2020,Q1,Primary and below,612.3,3661.3320635229247,345.5,0.09060188095986586,265.1,0.07240851737617313,3813.3866133866136,3661.1714975845407
2020,Q1,Secondary,3634.0,3699.402432133065,1847.8000000000002,0.4850052441978218,1786.0,0.4829051848158958,3809.855712088605,3698.44859023599
2020,Q1,     Lower secondary (3),976.2,3701.2954194692124,422.0,0.11105458500088332,554.1,0.14971473465453808,3799.933158965417,3701.0385202135776
2020,Q1,     Upper secondary (4),2657.7,3701.5400765284407,1425.8,0.3742197482411456,1232.0,0.332897168813983,3810.060817745034,3700.8425286080446
