Year,Quater,Educational attainment,Both sexes:No. ('000),Both sexes:Percentage share (%),Female:No. ('000),Female:Percentage share (%),Male:No. ('000),Male:Percentage share (%),total_female,total_male
2018,Q2,     Lower secondary (3),1071.1999999999998,13.815751265583609,452.4,11.703674412247416,618.8,15.915570933935472,3865.4527122403706,3888.0163493260757
2018,Q2,     Upper secondary (4),2915.2,37.65983433094955,1568.1,40.61668969726529,1347.0,34.71519819595351,3860.728217114108,3880.1449221079474
2018,Q2,Post-secondary (5),3129.0,40.42939722969609,1512.5,39.19352919274116,1616.6,41.6610561817049,3859.0553878473456,3880.362497170477
2018,Q2,     Post-secondary - non-degree (6),663.4,8.553649296271193,300.6,7.7738990172385485,362.9,9.33152318484952,3866.785500215816,3888.968529695103
2018,Q2,          Post-secondary - diploma/certificate (7),201.8,2.604324323864957,91.8,2.3762502623140374,110.0,2.8310957166872575,3863.2294525494726,3885.421441303794
2018,Q2,          Post-secondary - sub-degree (8),461.6,5.946635218219147,208.7,5.3983345859288185,253.0,6.493230246910578,3866.007130124777,3896.365759097718
2018,Q2,     Post-secondary - degree (9),2465.6,31.845062721978927,1211.8,31.403732117212197,1253.8,32.2835599812639,3858.7770252180303,3883.7104728464146
2018,Q3,Primary and below,630.0,8.116678476077402,324.4,8.435129253542707,305.5,7.8013789671496765,3845.8213294568523,3915.9743589743593
2018,Q3,Secondary,3970.3999999999996,51.15152853343754,2008.1,52.1144986381273,1962.4,50.20480041005821,3853.2463181577286,3908.789565881524
2018,Q3,     Lower secondary (3),1063.3,13.70978921236289,454.2,11.812669309547408,609.2,15.57758340879459,3845.0242540261397,3910.7477970945465
2018,Q3,     Upper secondary (4),2907.2,37.438307780666996,1554.0,40.3061532167776,1353.2,34.61031096352208,3855.490727785804,3909.8175148620307
2018,Q3,Post-secondary (5),3163.6,40.75014966369975,1522.0,39.48603021962468,1641.5,41.99413371337893,3854.5277697821375,3908.8793001509966
2018,Q3,     Post-secondary - non-degree (6),696.9,8.991776120249325,318.4,8.288411764800632,378.9,9.693245740672982,3841.507987720718,3908.9073994083406
2018,Q3,          Post-secondary - diploma/certificate (7),234.4,3.0064261545241164,115.8,2.992001336984215,118.7,3.023192173992328,3870.31912615121,3926.3134186818397
2018,Q3,          Post-secondary - sub-degree (8),462.6,5.965884765023689,202.6,5.296977857329763,259.9,6.614466459352944,3824.822482873882,3929.266277138618
2018,Q3,     Post-secondary - degree (9),2466.4,31.751051928829245,1203.6999999999998,31.19860929974319,1262.9,32.30132432530813,3858.1847941853866,3909.7468180600767
2018,Q4,Primary and below,646.2,8.360056881794108,340.70000000000005,8.779763319265872,305.6,7.9395227635282435,3880.514629049112,3849.0978501105083
2018,Q4,Secondary,3922.2,50.48939124444819,1978.8000000000002,50.981732082238715,1943.4,49.9977577028974,3881.390292522809,3886.974315024889
2018,Q4,     Lower secondary (3),1058.1999999999998,13.621637450329105,454.1,11.702418824041972,604.1,15.537038498027716,3880.39435972909,3888.1283590607372
2018,Q4,     Upper secondary (4),2864.0,36.90112687657566,1524.7,39.30619880009982,1339.2,34.49547191599134,3879.0319251021747,3882.248670960134
2018,Q4,Post-secondary (5),3200.3,41.19898831066302,1562.8,40.276968244800486,1637.4,42.11662363716433,3880.1331582392577,3887.7760337728832
2018,Q4,     Post-secondary - non-degree (6),741.6,9.554922402796214,352.2,9.10687342337811,389.4,9.999907620960922,3867.408534479824,3894.0359727301293
2018,Q4,          Post-secondary - diploma/certificate (7),261.2,3.3740279893222653,134.8,3.4679464442155736,126.4,3.279316066817585,3887.0265780730897,3854.4622544622544
2018,Q4,          Post-secondary - sub-degree (8),480.4,6.178284555695238,217.4,5.591296953530649,263.0,6.765385397791662,3888.1855463377206,3887.4355936300053
2018,Q4,     Post-secondary - degree (9),2458.6,31.66088700303358,1210.6999999999998,31.207460351704203,1248.0,32.116143175288336,3879.5210707810284,3885.89623974609
2019,Q1,Primary and below,667.0,8.587956486037445,362.9,9.27825623916255,303.0,7.859116500582454,3911.295297797845,3855.3951958536827
2019,Q1,Secondary,3891.3999999999996,50.21403490352328,1965.7999999999997,50.416415475388796,1925.6,50.00909848932147,3899.1268646610188,3850.4993254600995
2019,Q1,     Lower secondary (3),1039.6,13.423951217712052,448.4,11.507696759652347,591.3,15.367046768531148,3896.5225567305124,3847.844084205381
2019,Q1,     Upper secondary (4),2851.8,36.778394037572895,1517.4,38.916612312650585,1334.3,34.61306329140362,3899.106088190365,3854.9029560506488
2019,Q1,Post-secondary (5),3192.0,41.20225373284968,1569.8,40.29716910972404,1622.2,42.11767062090116,3895.5590049654243,3851.590024057439
2019,Q1,     Post-secondary - non-degree (6),764.2,9.897183649860144,365.0,9.394928047924257,399.2,10.405823174316081,3885.0749908685484,3836.3135074725815
2019,Q1,          Post-secondary - diploma/certificate (7),270.1,3.494950224111996,135.3,3.4890695513115704,134.9,3.50346976348959,3877.824675324676,3850.4685099846392
2019,Q1,          Post-secondary - sub-degree (8),494.3,6.395963637835954,229.70000000000002,5.906749951907107,264.5,6.888845608936397,3888.77135260884,3839.5402512270475
2019,Q1,     Post-secondary - degree (9),2427.8,31.310645248815757,1204.8,30.901959203583885,1223.0,31.723958827343356,3898.781925322949,3855.1304604073493
2019,Q2,Primary and below,656.2,8.453531859087589,356.20000000000005,9.102154781167371,298.6,7.7577041448499156,3913.3590733590736,3849.076923076923
2019,Q2,Secondary,3877.1,49.99150547212429,1981.0,50.604114408467126,1896.0,49.36450823954204,3914.7014489962844,3840.8161402107576
2019,Q2,     Lower secondary (3),1050.9,13.518092750620703,465.5,11.868060629944276,585.5,15.200947422094806,3922.2920619860843,3851.733604110537
2019,Q2,     Upper secondary (4),2826.2,36.420179851697384,1515.6,38.68592059279357,1310.6,34.10996194513583,3917.7043657643408,3842.279279314455
2019,Q2,Post-secondary (5),3226.1,41.549050151844206,1580.2,40.306887156478794,1645.8,42.813262184414,3920.421822368399,3844.1359429955955
2019,Q2,     Post-secondary - non-degree (6),783.2,10.09419939451139,380.0,9.682893469318019,403.3,10.517765215070774,3924.4467700083455,3834.464753235949
2019,Q2,          Post-secondary - diploma/certificate (7),290.6,3.75010356259404,152.5,3.883910252167583,138.0,3.6100478365643984,3926.455301455301,3822.664026838256
2019,Q2,          Post-secondary - sub-degree (8),492.70000000000005,6.352180020082335,227.4,5.823120090537541,265.3,6.888637982055816,3905.122966114345,3851.269303033181
2019,Q2,     Post-secondary - degree (9),2443.0,31.46281127318973,1200.4,30.60781515820139,1242.6,32.33538985836779,3921.874180811471,3842.848363488769
2019,Q3,Primary and below,634.2,8.186700411340672,356.0,9.072452972782541,278.3,7.280110051865142,3923.96633047318,3822.744409319752
2019,Q3,Secondary,3817.3,49.31611268923523,1932.6,49.414664328565436,1884.8,49.21807503602625,3910.984778020257,3829.487436516725
2019,Q3,     Lower secondary (3),1057.2,13.677293093012688,457.7,11.713786298255782,599.3,15.679295938649846,3907.361704798669,3822.23795216921
2019,Q3,     Upper secondary (4),2760.1,35.66129751209203,1474.8,37.687499824194234,1285.3000000000002,33.58918394960539,3913.23384910034,3826.5294028231374
2019,Q3,Post-secondary (5),3287.0,42.476175277417674,1622.0,41.485983404706815,1664.9,43.484717456202745,3909.754251639543,3828.7014321223683
2019,Q3,     Post-secondary - non-degree (6),773.6,9.996306247669544,373.5,9.571497804205908,400.0,10.42576759485657,3902.210580206962,3836.647962470747
2019,Q3,          Post-secondary - diploma/certificate (7),279.1,3.6094882645643733,151.70000000000002,3.8891469640861582,127.30000000000001,3.3221986576191416,3900.598290598291,3831.7997542997546
2019,Q3,          Post-secondary - sub-degree (8),494.6,6.408490713879305,221.8,5.706452687381756,272.6,7.1155280704705515,3886.8279849309793,3831.057896198741
2019,Q3,     Post-secondary - degree (9),2513.5,32.44887534308625,1248.6,31.899478844521184,1264.9,33.010073095998635,3914.170529511488,3831.8606454504547
2019,Q4,Primary and below,651.0,8.474921054192972,353.8,9.125855238737977,296.0,7.780075004076309,3876.896912611199,3804.5905707196025
2019,Q4,Secondary,3777.3,49.08203523747915,1925.8,49.71861252560363,1851.7,48.442212544303786,3873.398516517872,3822.4926210925873
2019,Q4,     Lower secondary (3),1011.6,13.145205859437123,443.0,11.423362181007688,568.6,14.894316232370851,3878.017635968202,3817.563633866066
2019,Q4,     Upper secondary (4),2765.6,35.961072468039376,1482.6,38.29654137846046,1282.9,33.59106572800011,3871.367874577506,3819.170282920283
2019,Q4,Post-secondary (5),3267.2999999999997,42.46293408731337,1594.2,41.1690890162065,1673.1,43.773762360513444,3872.322750140116,3822.1526087262637
2019,Q4,     Post-secondary - non-degree (6),760.8,9.867090907609951,365.6,9.423248976516012,395.2,10.31661626069777,3879.765895086968,3830.7133852167763
2019,Q4,          Post-secondary - diploma/certificate (7),280.70000000000005,3.649638784885439,147.6,3.8114927673475476,133.1,3.4855034416325967,3872.498493620812,3818.67360709466
2019,Q4,          Post-secondary - sub-degree (8),480.0,6.241461234273119,218.0,5.612947152762578,262.0,6.8827298488160995,3883.8776504907028,3806.629139237053
2019,Q4,     Post-secondary - degree (9),2506.4,32.54516861643516,1228.6,31.695233091956986,1277.8,33.406500741733794,3876.292679203456,3825.004031037829
2020,Q1,Primary and below,612.3,8.191788610235918,345.5,9.060188095986586,265.1,7.240851737617312,3813.3866133866136,3661.1714975845407
2020,Q1,Secondary,3634.0,48.399743186685996,1847.8000000000002,48.50052441978218,1786.0,48.29051848158958,3809.855712088605,3698.44859023599
2020,Q1,     Lower secondary (3),976.2,13.014313901620387,422.0,11.105458500088332,554.1,14.971473465453808,3799.933158965417,3701.0385202135776
2020,Q1,     Upper secondary (4),2657.7,35.38455865352663,1425.8,37.421974824114564,1232.0,33.2897168813983,3810.060817745034,3700.8425286080446
2020,Q1,Post-secondary (5),3263.4,43.44263018254477,1616.0,42.395852812087035,1647.3000000000002,44.518222263263894,3811.693580413788,3700.2825275872256
2020,Q1,     Post-secondary - non-degree (6),746.6,9.953114162949896,368.7,9.707682237308015,378.0,10.207534555150238,3798.022957354671,3703.146905432509
2020,Q1,          Post-secondary - diploma/certificate (7),284.1,3.7934514122232708,152.4,4.0094628829578145,131.7,3.570833836081908,3801.0078768349445,3688.2141831754234
2020,Q1,          Post-secondary - sub-degree (8),462.6,6.185420392429936,216.4,5.699950795925043,246.2,6.685941890036913,3796.524000780967,3682.3532727210213
2020,Q1,     Post-secondary - degree (9),2516.8,33.516443125610635,1247.5,32.74545491004786,1269.3000000000002,34.31040346953452,3809.689019214718,3699.4610137040763
2020,Q2,Primary and below,617.0999999999999,8.448451510891896,350.0,9.419545533307275,267.0,7.440188171627464,3715.67820084747,3588.618914480983
2020,Q2,Secondary,3512.2,47.96097389191162,1796.2,48.11708998831969,1715.9,47.79585748285786,3732.977202977203,3590.0600812851053
2020,Q2,     Lower secondary (3),955.0,13.030920140335533,412.1,11.035998761895147,543.0,15.106078649424273,3734.1432242896744,3594.579457725086
2020,Q2,     Upper secondary (4),2557.2,34.92621587187055,1384.2,37.08484150905281,1173.0,32.68139195014271,3732.5223559661217,3589.1984092644434
2020,Q2,Post-secondary (5),3194.6,43.61898761722334,1585.8,42.50050909791813,1608.8,44.78062346883399,3731.2494218514657,3592.625281601267
2020,Q2,     Post-secondary - non-degree (6),774.6,10.596849270351282,381.1,10.218009212148848,393.4,10.988732998746086,3729.6893366164295,3580.030564441692
2020,Q2,          Post-secondary - diploma/certificate (7),289.70000000000005,3.9644524552044964,155.2,4.185781811060378,134.4,3.733695940423015,3707.7900140400143,3599.650377121307
2020,Q2,          Post-secondary - sub-degree (8),485.0,6.634645599773646,226.0,6.074188909554853,259.0,7.21558958748236,3720.661365083596,3589.450270970434
2020,Q2,     Post-secondary - degree (9),2420.1,33.04340072942788,1204.6,32.28099998235902,1215.5,33.835345405502146,3731.60682958487,3592.39719716986
2020,Q3,Primary and below,610.5,8.308968383988155,345.0,9.294794988116681,264.2,7.2667708004837,3711.754809450662,3635.7277152929328
